gusti_id,description,lead_time,travel_time,cover_time,growth_factor,cant_travel_start,cant_travel_end,cant_produce_start,cant_produce_end
CON02405,SaltedCaperberriesBag 500g/10,1,1,6,1.2,June 1,August 31,August 1,August 31
CON02501,Orange Marmalade by Sicilia/6,1,1,12,1.2,June 1,August 31,August 1,August 31
CON02601,Mandarin Marmalade bySicilia/6,1,1,12,1.2,June 1,August 31,August 1,August 31
CON02701,Citron Marmalade by Sicilia/6,1,1,12,1.2,June 1,August 31,August 1,August 31
CON02801,Bergamot Marmalade bySicilia/6,1,1,12,1.2,June 1,August 31,August 1,August 31
CON03101,Almonds Nougat Sicilia 200g/10,1,1,12,1.2,June 1,August 31,August 1,August 31
CON03501,Pistachio NougatSicilia200g/10,1,1,12,1.2,June 1,August 31,August 1,August 31
CON03502,Pistachio 250gr,1,1,4,1.2,June 1,August 31,August 1,August 31
CON03503,Almonds Peeled 250gr /20,1,1,4,1.2,June 1,August 31,August 1,August 31
CON03505,Almonds Unpeeled 250gr/20,1,1,4,1.2,June 1,August 31,August 1,August 31
CON03506,Almonds Unpeeled 1kg/10,1,1,4,1.2,June 1,August 31,August 1,August 31
CON03507,Almonds Peeled BIG 1Kg/10,1,1,4,1.2,June 1,August 31,August 1,August 31
CON03901,Pink Grapefruit by Sicilia/6,1,1,12,1.2,June 1,August 31,August 1,August 31
CON04101,Apricot Extra Jam bySicil/6,1,1,12,1.2,June 1,August 31,August 1,August 31
CON08396,Yellow Piennolo 1kg/6,1,1,4,1.2,nil,nil,August 1,August 31
CON08397,Yellow Piennolo 520g/6,1,1,4,1.2,nil,nil,August 1,August 31
CON08398,Piennolo Vine Tomatoes 1kg/6,1,1,4,1.2,nil,nil,August 1,August 31
CON08399,Piennolo Vine Tomatoes 520g/6,1,1,4,1.2,nil,nil,August 1,August 31
CON09001,Stratto Pianogrillo 350g /12,1,1,6,1.2,nil,nil,August 1,August 31
CON09002,Salsa Pianogrillo 330g/12,1,1,6,1.2,nil,nil,August 1,August 31
CON09070,Dry Porcini- bag  50g,1,1,4,1.2,June 1,August 31,August 1,August 31
CON09073,Dry Porcini - bag 500g,1,1,4,1.2,June 1,August 31,August 1,August 31
CON09100,Green Olives Frat 580ml/12,0.75,1,6,1.2,June 1,August 31,August 1,August 31
CON09101,Green Olives Frat 1700ml/4,0.75,1,6,1.2,June 1,August 31,August 1,August 31
CON09102,Green Olives Frate 4700ml/2,0.75,1,6,1.2,June 1,August 31,August 1,August 31
CON09110,Black Olives Frate 580ml/12,0.75,1,6,1.2,June 1,August 31,August 1,August 31
CON09111,Black Olives Frate 4700ml/2,0.75,1,6,1.2,June 1,August 31,August 1,August 31
DOL00032,C-Amaro Choc/HazSpread 280g/12,1,1,6,1.2,June 1,August 31,August 1,August 31
DOL00033,C-Amaro PistachioSpread280g/12,1,1,6,1.2,June 1,August 31,August 1,August 31
DOL00034,C-Amaro AlmondSpread 280g / 12,1,1,6,1.2,June 1,August 31,August 1,August 31
MIE01301,Millefiori Honey Liccu 200g/12,1,1,6,1.2,June 1,August 31,August 1,August 31
MIE01401,Asphodel Honey Liccu 200g/12,1,1,6,1.2,June 1,August 31,August 1,August 31
MIE01501,Eucalyptus Honey Liccu 200g/12,1,1,6,1.2,June 1,August 31,August 1,August 31
MIE01601,Corbezzolo Honey Liccu 200g/12,1,1,6,1.2,June 1,August 31,August 1,August 31
MIE01602,Cardo Honey Liccu 200g/12,1,1,6,1.2,June 1,August 31,August 1,August 31
OLI00131,Pianogrillo .5l / 6,0.75,1,6,1.2,June 1,August 31,August 1,August 31
OLI00132,Pianogrillo - .25 lt tin / 24,0.75,1,6,1.2,June 1,August 31,August 1,August 31
OLI00134,Piano 5lt Tins for Gustiamo/4,0.75,1,6,1.2,June 1,August 31,August 1,August 31
OLI00212,Il Tratturello .75l / 6,0.75,1,6,1.2,June 1,August 31,August 1,August 31
OLI00216,Il Tratturello 5ltTins for G/4,0.75,1,6,1.2,June 1,August 31,August 1,August 31
OLI01101,Antichi Uliveti - .5lt / 6,0.75,1,6,1.2,June 1,August 31,August 1,August 31
OLI01102,Antichi Uliveti - .25lt / 20,0.75,1,6,1.2,June 1,August 31,August 1,August 31
OLI01550,Cru di Cures 500ml/ 6,0.75,1,6,1.2,June 1,August 31,August 1,August 31
OLI01553,Cru di Cures 5lt tin $16.3/lt,0.75,1,6,1.2,June 1,August 31,August 1,August 31
OLI01926,Vicopisano  .5l / 6,0.75,1,6,1.2,June 1,August 31,August 1,August 31
OLI01932,Vicopisano 100ml / 12,0.75,1,6,1.2,June 1,August 31,August 1,August 31
OLI08101,Benza .5l / 6,0.75,1,6,1.2,June 1,August 31,August 1,August 31
OLI08102,Benza - 5lt tin,0.75,1,6,1.2,June 1,August 31,August 1,August 31
OLI08105,Benza BYB .75l wine bottle,0.75,1,6,1.2,June 1,August 31,August 1,August 31
PAS00083,Semola Rimacinata Flour 25kg,0.5,1,4,1.2,June 1,August 31,July 1,August 31
PAS00084,Semola Rimacinata Flour 5kg,0.5,1,4,1.2,June 1,August 31,July 1,August 31
PAS00085,Semola Rimacinata Flour 1kg,0.5,1,4,1.2,June 1,August 31,July 1,August 31
PAS00086,Castelvetrano Flour 25kg,0.5,1,4,1.2,June 1,August 31,July 1,August 31
PAS00087,Castelvetrano Flour 5kg,0.5,1,4,1.2,June 1,August 31,July 1,August 31
PAS00088,Castelvetrano Flour 1kg,0.5,1,4,1.2,June 1,August 31,July 1,August 31
PAS00089,Busiate 500gr/24,1.5,1,6,1.2,June 1,August 31,July 1,August 31
PAS00090,Busiate 250gr/30,1.5,1,6,1.2,June 1,August 31,July 1,August 31
PAS00701,Carnaroli Rice Gazzani 1kg/12,0.75,1,4,1.2,June 1,August 31,August 1,August 31
PAS00801,Vialone NanoRiceGazzani 1kg/12,0.75,1,4,1.2,June 1,August 31,August 1,August 31
PAS00902,Integrale Gazzani 1kg/12,0.75,1,4,1.2,June 1,August 31,August 1,August 31
PAS07401,Spaghetti by Martelli 500g/20,1.5,1,6,1.2,June 1,August 31,September 1,September 30
PAS07421,Spaghettini  by Martelli/20,1.5,1,6,1.2,June 1,August 31,September 1,September 30
PAS07441,Maccheroni by Martelli/20,1.5,1,6,1.2,June 1,August 31,September 1,September 30
PAS07442,Fusilli by Martelli 500g/20,1.5,1,6,1.2,June 1,August 31,September 1,September 30
PAS07461,Penne by Martelli 500g/20,1.5,1,6,1.2,June 1,August 31,September 1,September 30
PAS10003,Crespi Rice VENERE NERO500g/44,0.75,1,6,1.2,June 1,August 31,August 1,August 31
PAS10004,Crespi RiceROSSOIntegr500gr/44,0.75,1,6,1.2,June 1,August 31,August 1,August 31
PAS11997,Faella Spaghettoni 500g/20,1,1,4,1.2,June 1,August 31,August 1,September 15
PAS11998,Faella Linguine 500gr/20,1,1,4,1.2,June 1,August 31,August 1,September 15
PAS11999,Faella Penne 500gr/20,1,1,4,1.2,June 1,August 31,August 1,September 15
PAS12000,Faella Spaghetti 500gr/20,1,1,4,1.2,June 1,August 31,August 1,September 15
PAS12001,Faella Bucatini 500g/20,1,1,4,1.2,June 1,August 31,August 1,September 15
PAS12002,Faella Caserecci 500g/20,1,1,4,1.2,June 1,August 31,August 1,September 15
PAS12003,Faella Ziti Tagliati 500g/20,1,1,4,1.2,June 1,August 31,August 1,September 15
PAS12004,Faella Sedani 500g/20,1,1,4,1.2,June 1,August 31,August 1,September 15
PAS12006,Faella Mezzanelli 1kg/10,1,1,4,1.2,June 1,August 31,August 1,September 15
PAS12008,Faella Spaghettini 500g/20,1,1,4,1.2,June 1,August 31,August 1,September 15
PAS12020,Faella Mezzi Paccheri 500g/20,1,1,4,1.2,June 1,August 31,August 1,September 15
PAS12021,Faella Calamari 500g/20,1,1,4,1.2,June 1,August 31,August 1,September 15
PAS12032,FaellaTofe 500gr/20,1,1,4,1.2,June 1,August 31,August 1,September 15
PAS12033,Faella Genovesine 500g/20,1,1,4,1.2,June 1,August 31,August 1,September 15
PAS12034,Faella CANDELE LUN 1Kg/10,1,1,4,1.2,June 1,August 31,August 1,September 15
PAS12035,Faella Gemelli 500gr/20,1,1,4,1.2,June 1,August 31,August 1,September 15
PAS12036,Faella Anelli Rigati 500gr/20,1,1,4,1.2,June 1,August 31,August 1,September 15
